Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Quadrat number,Hard coral (% cover),Soft coral (% cover),Macroalgae (% cover),Observation notes,Number of quadrats,Average Hard Coral (% cover),Average Soft Coral (% cover),Average Macroalgae (% cover)
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,15,50,40,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,16,40,35,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,17,40,10,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,18,50,20,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,1,100,0,0,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,2,100,0,0,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,3,50,0,0,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,4,15,15,5,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,5,80,0,0,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,6,10,0,20,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,7,20,20,40,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,8,10,5,35,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,9,55,0,15,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,10,40,0,10,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,11,30,0,0,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,12,5,40,25,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,13,30,5,25,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,14,75,0,5,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,15,60,0,0,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,16,80,0,0,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,17,35,0,5,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,18,90,0,5,,18,49.2,4.7,10.6
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,1,70,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,2,45,0,15,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,3,55,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,4,10,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,5,10,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,6,85,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,7,20,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,8,60,0,5,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,9,70,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,10,5,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,11,40,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,12,80,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,13,90,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,14,20,0,5,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,15,70,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,16,35,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,17,75,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,18,10,0,5,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,19,100,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,20,75,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,21,5,0,0,,21,49.0,0.0,1.4
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,1,65,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,2,30,35,5,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,3,40,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,4,55,0,10,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,5,60,0,10,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,6,15,5,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,7,35,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,8,90,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,9,10,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,10,30,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,11,15,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,12,25,35,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,13,10,25,5,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,14,15,0,5,,20,39.2,5.0,2.2
